borough,population,listings_total,listings_active,crimes_12m_total,airbnb_density_per_10k,crime_rate_per_1k,airbnb_density_per_1k
Camden,216943.0,4707,2902,41839.0,133.7678560727933,192.857109932102,13.37678560727933
City of London,15111.0,424,305,,201.83971940970156,,20.183971940970157
Hackney,266758.0,5168,2148,33109.0,80.52242107078327,124.1162401877357,8.052242107078326
Hammersmith and Fulham,188687.0,2996,1667,21704.0,88.34736892313725,115.02647241198387,8.834736892313725
Haringey,263850.0,1898,905,29064.0,34.299791548228164,110.1534963047186,3.4299791548228162
Islington,223024.0,3790,1652,31209.0,74.07274553411291,139.9356123107827,7.407274553411291
Kensington and Chelsea,144518.0,4612,3117,23066.0,215.6824755393792,159.60641580979532,21.56824755393792
Lambeth,316920.0,3719,1808,37707.0,57.04909756405402,118.97955319954563,5.704909756405402
Lewisham,301255.0,2016,1052,29224.0,34.92058223100032,97.00751854741,3.492058223100032
Newham,374523.0,1682,973,40689.0,25.9797128614264,108.6421928693298,2.59797128614264
Southwark,314786.0,3968,2054,40206.0,65.25067823854937,127.72486705253728,6.525067823854937
Tower Hamlets,331886.0,5595,2743,36603.0,82.64886135600779,110.28786993124146,8.26488613560078
Wandsworth,337655.0,3473,1791,26994.0,53.042306496275785,79.9455065081222,5.304230649627579
Westminster,209996.0,7763,5269,86641.0,250.90954113411684,412.5840492199852,25.090954113411684
Barking and Dagenham,232747.0,433,315,20161.0,13.53400903126571,86.62195431090412,1.353400903126571
Barnet,405050.0,1611,1085,28379.0,26.78681644241452,70.0629551907172,2.678681644241452
Bexley,256434.0,411,341,16023.0,13.297768626625176,62.48391398956456,1.3297768626625177
Brent,352976.0,2068,1313,32911.0,37.19799646434885,93.2386337881329,3.719799646434885
Bromley,335319.0,594,395,24228.0,11.779827567182297,72.25358539182092,1.1779827567182297
Croydon,409342.0,1066,738,34278.0,18.02893424080597,83.73926936400369,1.802893424080597
Ealing,385985.0,1553,940,32293.0,24.353277977123465,83.66387294843064,2.4353277977123464
Enfield,327434.0,617,449,29292.0,13.712687136949738,89.45924980301375,1.3712687136949737
Greenwich,299528.0,1514,975,28097.0,32.551213909884886,93.80425202318314,3.2551213909884886
Harrow,270724.0,444,339,16602.0,12.521978103160414,61.32444851583163,1.2521978103160414
Havering,276274.0,329,265,19351.0,9.591926855223438,70.04278361336934,0.9591926855223438
Hillingdon,329185.0,714,558,30901.0,16.95095463037502,93.87122742530796,1.695095463037502
Hounslow,299424.0,1078,731,26924.0,24.41354066474297,89.91931174521748,2.441354066474297
Kingston upon Thames,172692.0,609,365,11700.0,21.13589511963496,67.75067750677506,2.1135895119634958
Merton,218539.0,1114,628,13556.0,28.736289632514104,62.03011819400656,2.8736289632514103
Redbridge,321231.0,669,473,24192.0,14.724606280215797,75.31029072536585,1.4724606280215797
Richmond upon Thames,196678.0,1108,695,12027.0,35.336946684428355,61.15071334872228,3.5336946684428354
Sutton,214525.0,286,193,13070.0,8.9966204405081,60.92530008157557,0.89966204405081
Waltham Forest,279737.0,1322,758,23986.0,27.096880283981022,85.74482460310935,2.7096880283981024
